Episode 69/400 | Steps 582 | Raw 0.0 | Shaped 58.20 | Eps 0.7997
Episode 70/400 | Steps 1247 | Raw 0.0 | Shaped 124.70 | Eps 0.7975
Eval ep 70: mean 1334.0 | [1279, 1128, 1595]
Episode 71/400 | Steps 645 | Raw 0.0 | Shaped 64.50 | Eps 0.7927
Episode 72/400 | Steps 1021 | Raw 0.0 | Shaped 102.10 | Eps 0.7903
Episode 73/400 | Steps 608 | Raw 0.0 | Shaped 60.80 | Eps 0.7864
Episode 74/400 | Steps 744 | Raw 0.0 | Shaped 74.40 | Eps 0.7841
Episode 75/400 | Steps 466 | Raw 0.0 | Shaped 46.60 | Eps 0.7813
Episode 76/400 | Steps 1028 | Raw 0.0 | Shaped 102.80 | Eps 0.7795
Episode 77/400 | Steps 618 | Raw 0.0 | Shaped 61.80 | Eps 0.7756
Episode 78/400 | Steps 1036 | Raw 0.0 | Shaped 103.60 | Eps 0.7732
Episode 79/400 | Steps 936 | Raw 0.0 | Shaped 93.60 | Eps 0.7693
Episode 80/400 | Steps 1304 | Raw 0.0 | Shaped 130.40 | Eps 0.7657
Eval ep 80: mean 806.3 | [537, 562, 1320]
Episode 81/400 | Steps 736 | Raw 0.0 | Shaped 73.60 | Eps 0.7608
Episode 82/400 | Steps 1043 | Raw 0.0 | Shaped 104.30 | Eps 0.7580
Episode 83/400 | Steps 1021 | Raw 0.0 | Shaped 102.10 | Eps 0.7540
Episode 84/400 | Steps 1002 | Raw 0.0 | Shaped 100.20 | Eps 0.7501
Episode 85/400 | Steps 1000 | Raw 0.0 | Shaped 100.00 | Eps 0.7463
Episode 86/400 | Steps 1044 | Raw 0.0 | Shaped 104.40 | Eps 0.7425
Episode 87/400 | Steps 736 | Raw 0.0 | Shaped 73.60 | Eps 0.7386
Episode 88/400 | Steps 1066 | Raw 0.0 | Shaped 106.60 | Eps 0.7358
Episode 89/400 | Steps 938 | Raw 0.0 | Shaped 93.80 | Eps 0.7317
Episode 90/400 | Steps 733 | Raw 0.0 | Shaped 73.30 | Eps 0.7282
Eval ep 90: mean 545.3 | [453, 733, 450]
Episode 91/400 | Steps 1286 | Raw 0.0 | Shaped 128.60 | Eps 0.7254
Episode 92/400 | Steps 1041 | Raw 0.0 | Shaped 104.10 | Eps 0.7205
Episode 93/400 | Steps 703 | Raw 0.0 | Shaped 70.30 | Eps 0.7165
Episode 94/400 | Steps 1003 | Raw 0.0 | Shaped 100.30 | Eps 0.7139
Episode 95/400 | Steps 728 | Raw 0.0 | Shaped 72.80 | Eps 0.7100
Episode 96/400 | Steps 981 | Raw 0.0 | Shaped 98.10 | Eps 0.7073
Episode 97/400 | Steps 1064 | Raw 0.0 | Shaped 106.40 | Eps 0.7036
Episode 98/400 | Steps 482 | Raw 0.0 | Shaped 48.20 | Eps 0.6995
Episode 99/400 | Steps 737 | Raw 0.0 | Shaped 73.70 | Eps 0.6977
Episode 100/400 | Steps 1980 | Raw 0.0 | Shaped 198.00 | Eps 0.6949
Eval ep 100: mean 816.0 | [745, 579, 1124]
Episode 101/400 | Steps 937 | Raw 0.0 | Shaped 93.70 | Eps 0.6874
Episode 102/400 | Steps 939 | Raw 0.0 | Shaped 93.90 | Eps 0.6838
